gig_id,date,venue,venue_mbid,city,country,festival,event_mbid,status,notes
g150912,2015-09-12,Smena,2d56b9c9-08d3-4704-a437-f74d816eb68d,Moscow,Russia,Moscow Music Week 2015,1b6fb04c-5086-494d-abbb-006feaaae35f,,
g150919,2015-09-19,Street Art Museum,2dd1c369-5e06-4f20-a49e-b01871abb8cf,Saint-Petersburg,Russia,,,,
g151016,2015-10-16,Jazzter,59a4236a-8afe-4db7-a511-777d6ce0993e,Kharkiv,Ukraine,,8edbe261-867e-4a6f-8a22-2f74b156fe6a,,
g151018,2015-10-18,Cadillac Art Club,e2b57bd9-4b6f-4b5f-beed-193cfb5eaaa9,Kiev,Ukraine,,2dc42e81-a60e-4635-aeb5-e8b60a0c7f12,,
g151020,2015-10-20,34,74ceea05-d251-412c-8ffa-fa049c753ce3,Chernivtsi,Ukraine,,6f688d1e-fbcc-4aaa-bb51-8ca9ecd45a2a,,
g151022,2015-10-22,More Music Club,a4c00632-9537-42a8-87cc-a8c0638288f2,Odessa,Ukraine,,d0777f70-76d0-4aa3-9398-ccc9602e9ab5,,
g151023,2015-10-23,Drunk Patrick,d2a07538-f8dc-4735-9092-d637d6b6167e,Mykolayiv,Ukraine,,b55fe25a-6595-4b55-ba66-fe52127ac2f7,,
g151024,2015-10-24,"Monotheatre ""Kut""",bd014ec2-0f84-44f0-a1cd-e41480487f09,Khmelnytskyi,Ukraine,Cow Art Fst,366f26e8-afb2-421a-9b23-15ee9123aaa3,,
g151030,2015-10-30,Zal Ozhidaniya,341e59cd-2206-4834-81ee-58224ed6063d,Saint-Petersburg,Russia,Ionosfera Halloween,db482bb8-5fe9-445e-baf2-881aa98ba733,,
g151107,2015-11-07,A2,fd52cd06-8711-4816-be8a-5f0bfdf29278,Saint-Petersburg,Russia,,09f77eed-28cf-4558-a70f-f6d9887d1368,,
g151121,2015-11-21,Mod,5ab453ed-3047-4229-bc85-c60142d6998c,Saint-Petersburg,Russia,BASTARD BOOGIE TUNES SHOWCASE # 1,de467c3a-f59e-4e7f-9232-7007efd5de6c,,
g151203,2015-12-03,Brooklyn Club,2bb0d22a-6662-42e9-a194-709a9958fbd6,Moscow,Russia,,68b269e3-13ef-46c1-9131-ff802379ce76,,
g151205,2015-12-05,Sergey Kuryokhin Center for Modern Art,72eb1cee-6f16-42ce-adc1-8ac515452a2f,Saint-Petersburg,Russia,SKIF 19,0aa31f99-064b-4c23-9ef9-329008d6739b,,
g160107,2016-01-07,Mod,5ab453ed-3047-4229-bc85-c60142d6998c,Saint-Petersburg,Russia,,625fce1e-24f2-4a0e-b994-d21e04c2f5e8,,
g160319,2016-03-19,16 Tons,7e9afe9d-e59c-49d5-a09e-d1b20eff892d,Moscow,Russia,,71acbe31-bd01-46a2-b1fc-eaef7c0b7529,,
g160324,2016-03-24,XXXX,96d6de3e-853d-4c50-b96a-350dc9599896,Saint-Petersburg,Russia,,2bc55638-2281-4102-8d5c-d654b5163a2e,,
g160423,2016-04-23,Sady Babilona,c4b4f242-a839-496d-a81e-f3550d51db49,Moscow,Russia,,9f46f920-6a7a-4bbc-a877-0785940c1fe2,,
g160424,2016-04-24,BU,f026bcd4-69bd-4f45-9444-20971abcd477,Nizhniy Novgorod,Russia,,106e0662-1ec5-4d62-b445-ce5c403790b0,,
g160429,2016-04-29,New Bar,2720a394-88c0-4391-bd45-908624d88d6a,Yekaterinburg,Russia,,73dd2f6d-5033-491f-8181-df45cbb47ccb,,
g160430,2016-04-30,Sol,4586359a-b816-408b-b543-7ef60cf47e20,Kazan,Russia,,0ba830df-b91b-4578-b4dd-d06fd975e782,,
