status,title,url,uploader,gig_id,content_type,content,notes
,SHORTPARIS - Love Is Found (Sade cover) / Family's White Silk,https://www.youtube.com/watch?v=r8QMh8dfzG4,Денис Морозов,g141024,Multiple Songs,Love is Found (Sade cover)||Family's White Silk,
,SHORTPARIS - Прощание с Дочерью,https://www.youtube.com/watch?v=dMXWRMdKpuU,Денис Морозов,g141024,Song,?,
,SHORTPARIS - Your Need Me (Swans cover) / St.Trope / Male a le Tete,https://www.youtube.com/watch?v=nElMxDRtesw,Денис Морозов,g141024,Multiple Songs,You Need Me (Swans cover)||St. Tropez||Ma Soeur,
,SHORTPARIS - Devilish / A Hero,https://www.youtube.com/watch?v=jQEnjfP0gls,Денис Морозов,g141024,Multiple Songs,Devilish||A Hero,
,SHORTPARIS Vinyllasky,https://www.youtube.com/watch?v=QfOm1Yw4eQc,Елена,g141107,Full Set,,
,SHORTPARIS Vinyllasky [1],https://www.youtube.com/watch?v=CNgTMXaUorE,Елена,g141107,Song,,
,SHORTPARIS Vinyllasky [2],https://www.youtube.com/watch?v=5xkbkzm9d6c,Елена,g141107,Song,,
,SHORTPARIS Vinyllasky [3],https://www.youtube.com/watch?v=sBVBOCtqetY,Елена,g141107,Song,,
,SHORTPARIS Vinyllasky [4],https://www.youtube.com/watch?v=3utRB5doFCM,Елена,g141107,Song,Новокузнецк,
,SHORTPARIS Vinyllasky [5],https://www.youtube.com/watch?v=KbCSCuKRkWQ,Елена,g141107,Song,Билли баян,
,SHORTPARIS Vinyllasky [6],https://www.youtube.com/watch?v=qYn5aaL7b2E,Елена,g141107,Song,,
,SHORTPARIS Vinyllasky [7],https://www.youtube.com/watch?v=ahxM-6fV19c,Елена,g141107,Song,,
,SHORTPARIS Vinyllasky [8],https://www.youtube.com/watch?v=EMA4YqaDG2A,Елена,g141107,Song,Сын,
,SHORTPARIS Vinyllasky [9],https://www.youtube.com/watch?v=QCO0rpLhGXw,Елена,g141107,Song,Новокузнецк,
,SHORTPARIS Fish Fabrique Nouvelle 30.11.2014,https://www.youtube.com/watch?v=LnthOh3RK4U,Елена,g141130,Multiple Songs,,
,Николай и Данила (SHORTPARIS) Special DJ set live performance [1],https://www.youtube.com/watch?v=sZDm7lS0I9A,Елена,g150222,DJ Set,,
,Николай и Данила (SHORTPARIS) Special DJ set live performance [2],https://www.youtube.com/watch?v=vkWfDfk0w9k,Елена,g150222,DJ Set,,
,Николай и Данила (SHORTPARIS) Special DJ set live performance [3],https://www.youtube.com/watch?v=y2UAqDi2PEM,Елена,g150222,DJ Set,,
,Николай и Данила (SHORTPARIS) Special DJ set live performance [4],https://www.youtube.com/watch?v=0BZq12XM8p8,Елена,g150222,DJ Set,,
,Николай и Данила (SHORTPARIS) Special DJ set live performance [5],https://www.youtube.com/watch?v=6w6Hk5JJbjI,Елена,g150222,DJ Set,,
,SHORTPARIS @ ЗАЛ ОЖИДАНИЯ 26.02.15,https://www.youtube.com/watch?v=7koc61x-jDA,Елена,g150226,Full Set,,
,SHORTPARIS [4] @ ЗАЛ ОЖИДАНИЯ 26.02.15,https://www.youtube.com/watch?v=edUQDuRglUs,Елена,g150226,Song,St. Tropez,
,SHORTPARIS [6] @ ЗАЛ ОЖИДАНИЯ 26.02.15,https://www.youtube.com/watch?v=-h49FTGFd0I,Елена,g150226,Song,Вальс,
,SHORTPARIS [13] @ ЗАЛ ОЖИДАНИЯ 26.02.15,https://www.youtube.com/watch?v=36hS4brLwo8,Елена,g150226,Song,Your Queen,
,SHORTPARIS [16] @ ЗАЛ ОЖИДАНИЯ 26.02.15,https://www.youtube.com/watch?v=EVpEAt-_dbM,Елена,g150226,Song,A Hero,
,SHORTPARIS - Your Queen / St.Tropez,https://www.youtube.com/watch?v=ENxvEf70ybw,Денис Морозов,g150327,Multiple Songs,Your Queen||St. Tropez,
,SHORTPARIS - Ma Russie,https://www.youtube.com/watch?v=w3NoHYz9l8E,Денис Морозов,g150327,Song,Ma Russie,
,SHORTPARIS - P/W / Family's White Silk,https://www.youtube.com/watch?v=Gygb_1tiZds,Денис Морозов,g150327,Multiple Songs,P/W||Family's White Silk,
,SHORTPARIS - Новокузнецк,https://www.youtube.com/watch?v=fFJDOR_KZIA,Денис Морозов,g150327,Song,Новокузнецк,
,"SHORTPARIS - Раз, два, три",https://www.youtube.com/watch?v=kw2_ysDGqs0,Денис Морозов,g150327,Song,"Раз, два, три",
,SHORTPARIS - Сын,https://www.youtube.com/watch?v=Bra6VmPZMIU,Денис Морозов,g150327,Song,Сын,
,SHORTPARIS - Любовь,https://www.youtube.com/watch?v=iDuMEgJFVVk,Денис Морозов,g150327,Song,Любовь,
,SHORTPARIS - Amsterdam,https://www.youtube.com/watch?v=KNDje1C2DhE,Денис Морозов,g150327,Song,Amsterdam,
,SHORTPARIS [1] @ BACKSTAGE CLUB,https://www.youtube.com/watch?v=SdUrrl0bVpo,Елена,g150327,Multiple Songs,Ma Russie,
,SHORTPARIS [3] @ BAСKSTAGE CLUB,https://www.youtube.com/watch?v=ax-RjG_nhm4,Елена,g150327,Song,Сын,
,SHORTPARIS [2] @ BACKSTAGE CLUB,https://www.youtube.com/watch?v=b4SSncci0xE,Елена,g150327,Song,Вальс,
,SHORTPARIS [3] @ Зал Ожидания 1.05.15,https://www.youtube.com/watch?v=2gFzM136tOM,Елена,g150430,Song,Family's White Silk,
,SHORTPARIS [6] @ Зал Ожидания 1.05.15,https://www.youtube.com/watch?v=pL0kWvVDS_k,Елена,g150430,Song,St. Tropez,
,SHORTPARIS - Новокузнецк,https://www.youtube.com/watch?v=jgYXu3rYOLE,Денис Морозов,g150523,Song,Новокузнецк,
,SHORTPARIS. Акция 24.,https://www.youtube.com/watch?v=QRMQVZo_hDQ,Настя зу,g150523,,,
,SHORTPARIS @ Продукты 24 часа 23.05.14,https://www.youtube.com/watch?v=OOyHU0GGtP0,Елена,g150523,Full Set,,Labeled as 23.05.14 but presumably g150523
,SHORTPARIS - Amsterdam,https://www.youtube.com/watch?v=CsYZJL--EH8,Денис Морозов,g150523,Song,Amsterdam,
,SHORTPARIS - Ma Russie,https://www.youtube.com/watch?v=14S1ejWGUv4,Денис Морозов,g150523,Song,Ma Russie,
,SHORTPARIS - Любовь,https://www.youtube.com/watch?v=S8EeTKO4i0A,Денис Морозов,g150524,Song,Любовь,Might actually be g150523? Or did they do two performances at the convenience store?
,SHORTPARIS - Family's White Silk,https://www.youtube.com/watch?v=8JjUecvV6o4,Денис Морозов,g150524,Song,Family's White Silk,Might actually be g150523? Or did they do two performances at the convenience store?
,SHORTPARIS - Love Is Found (Sade cover),https://www.youtube.com/watch?v=Mvw4wDVqAM4,Денис Морозов,g150524,Song,Love Is Found (Sade cover),Might actually be g150523? Or did they do two performances at the convenience store?
,SHORTPARIS - St.Tropez,https://www.youtube.com/watch?v=JN3x0ICkJNc,Денис Морозов,g150524,Song,St. Tropez,Might actually be g150523? Or did they do two performances at the convenience store?
,SHORTPARIS - Ma Soeur,https://www.youtube.com/watch?v=nhjg1xfvjEQ,Денис Морозов,g150524,Song,Ma Soeur,
,"SHORTPARIS - Раз, два, три",https://www.youtube.com/watch?v=gCBZ3nUtyPQ,Денис Морозов,g150524,Song,"Раз, два, три",
,SHORTPARIS - White Skin,https://www.youtube.com/watch?v=--crhwN9kXE,Денис Морозов,g150524,Song,White Skin,
,SHORTPARIS - Intro / Что-то особое во мне,https://www.youtube.com/watch?v=xq1Pkcz7yU4,Денис Морозов,g150524,Song,Что-то особое во мне,
,SHORTPARIS - Pink Whale,https://www.youtube.com/watch?v=zE5TZRS7QUo,Денис Морозов,g150524,Song,Pink Whale,
,SHORTPARIS // ПРОДУКТЫ 24 LIVE,https://www.youtube.com/watch?v=muPUTYPrXJs,Денис Морозов,g150524,Full Set,,
,SHORTPARIS на московской Ионосфере,https://www.youtube.com/watch?v=ZINnViQBjZ8,Денис Морозов,g150529,,,
,Shortparis @ChinaTownCafe 29-05-15 (1),https://www.youtube.com/watch?v=Ks2iwib4iG4,a1argusblog,g150529,Song,Новокузнецк,
,Shortparis @ChinaTownCafe 29-05-15 (2),https://www.youtube.com/watch?v=J0kxZl96tJE,a1argusblog,g150529,Song,Любовь,
,Shortparis @ChinaTownCafe 29-05-15 (4),https://www.youtube.com/watch?v=49XgYKHO_Mw,a1argusblog,g150529,Song,Сын,
,SHORTPARIS @ Киностудия Леннаучфильм 04.07.15,https://www.youtube.com/watch?v=m4P6nBAZldA,Елена,g150703,Full Set,,Is date in video title wrong?
,SHORTPARIS [2] @ Street Art Museum 19.09.15,https://www.youtube.com/watch?v=QVzKb0VUbhs,Елена,g150919,Multiple Songs,St. Tropez||ТуТу,
