gig_id,url,type,archive_service
g160107,https://vk.com/event109013110,VK Event,Wayback
g160319,https://vk.com/shortparis_night,VK Event,Wayback
g160319,https://www.themoscowtimes.com/2016/03/16/gigs-52173-a52173,Events Listing,Wayback
g160319,https://www.16tons.ru/club/2016-shortparis-19mar/,Venue Event Page,Wayback
g160324,https://vk.com/album-66101926_230222386,Photo Gallery,Wayback
g160324,https://vk.com/event116844174,VK Event,Wayback
g160423,https://vk.com/shortparisgardens,VK Event,Wayback
g160424,https://vk.com/shortparis_nino,VK Event,Wayback
g160429,https://vk.com/shortparis_ekb,VK Event,Wayback
g160430,https://vk.com/shortparis_kazan,VK Event,
g160430,https://www.facebook.com/events/491796907675203/,Facebook Event,
g160501,https://vk.com/shortparis_perm,VK Event,
g160612,https://sun9-16.userapi.com/c629112/v629112722/1646d/FPXMdGYbiAc.jpg,Flyer,
g160612,https://vk.com/ranaldo_place,VK Event,
g160617,https://vk.com/easter_16night,VK Event,
g160617,https://www.16tons.ru/club/2016-easter-17june/,Venue Event Page,Wayback
g160617,https://www.16tons.ru/photo/2016-easter-17june,Photo Gallery,Wayback
g160618,https://pp.userapi.com/c636619/v636619321/d46a/j1OHckdb098.jpg,Flyer,
g160618,https://vk.com/ionosfear33,VK Event,
g160702,https://bestfest.ru/o-festivale/2016/,Festival Lineup,Wayback
g160813,https://vk.com/postfest2016,VK Event,
g160902,https://vk.com/shortkiev,VK Event,
g160903,https://www.facebook.com/events/521911607987000/,Facebook Event,archive.is
g160903,https://www.flickr.com/photos/kiraigigs/sets/72157685062249814/,Photo Gallery,
g160904,https://vk.com/shortparis_lviv,VK Event,
g160906,http://klubchlodna25.pl/2016/09/koncert-shortparis-saint-petersburg-ru-h-soror-kiev-ua-wt-0609-g-20-30/,Venue Event Page,
g160908,https://www.facebook.com/events/494159900795307/,Facebook Event,
g160908,http://www.klubovna.povalec.cz/4105/program/shortparis-h-soror-08-09-2016-19-00,Venue Event Page,
g160909,https://www.facebook.com/events/167338420341237/,Facebook Event,
g160911,https://www.dordrecht.net/agenda/2016-09-11-7195-shortparis-ru--h-soror-ua.html,Venue Event Page,
g160913,https://www.facebook.com/events/158545491249573/,Facebook Event,
g160914,https://www.facebook.com/events/158830777884690/,Facebook Event,
g160917,https://www.facebook.com/events/autograf-klub/shortparis-hsoror/1684766121853122/,Facebook Event,
g161102,https://www.16tons.ru/club/2016-zg2-vech/,Venue Event Page,archive.is
g161105,https://www.last.fm/event/4284591+Shortparis+at+16+Tons+on+05+November+2016,Last.fm Event,
g161105,https://m.16tons.ru/concert/2016-shortparis-5nov,Venue Event Page,
g161105,https://www.16tons.ru/photo/2016-shortparis-5nov,Photo Gallery,Wayback
g161112,https://www.erarta.com/ru/calendar/events/detail/4d3287be-9cf0-11e6-a2dc-8920284aa333/,Venue Event Page,
g161112,https://vk.com/bbthbp,VK Event,
g170331,https://www.facebook.com/events/375928739419879/,Facebook Event,
g170527,https://www.flickr.com/photos/kiraigigs/sets/72157682528576270/,Photo Gallery,
g170528,https://www.facebook.com/events/1517800928264313/,Facebook Event,
g170602,https://vk.com/shortparisaglomerat,VK Event,
g170610,https://www.facebook.com/events/berthold-centre/berthold-music-fest/413823075657282/,Facebook Event,
g170610,https://vk.com/bertholdmusicfest,VK Event,
g170831,https://vk.com/altj310817,VK Event,
g170905,https://www.concertarchives.org/concerts/shortparis-ebm-party,Concert Archives,
g170909,https://www.facebook.com/events/robot/robot-live-i-shortparis-rus-i-free-show/108710199823716/,Facebook Event,
g170916,https://pp.userapi.com/c638929/v638929777/5c5ce/FiszHdQj-kk.jpg,Flyer,
g170916,https://vk.com/shortparis16,VK Event,
g171112,https://www.erarta.com/ru/calendar/events/detail/c6619a54-a912-11e7-ac7f-8920284aa333/,Venue Event Page,
g171215,https://www.residentadvisor.net/images/events/flyer/2017/12/de-1215-1040003-0-front.jpg,Flyer,
g171215,https://www.residentadvisor.net/events/1040003,RA Event,
g171215,http://www.berghain.de/event/2218,Venue Event Page,
g171215,https://www.facebook.com/events/223736188166759/,Facebook Event,
g180120,https://pp.userapi.com/c824600/v824600449/5ddb6/rCSXL6Hf_sU.jpg,Flyer,
g180120,https://vk.com/shortparis_tula?z=album-158029851_249957819,Photo Gallery,
g180120,https://vk.com/shortparis_tula,VK Event,Wayback
g180121,https://pp.userapi.com/c834100/v834100073/8471d/TzCm6wwDosE.jpg,Flyer,
g180121,https://vk.com/cultprosvetpart2,VK Event,
g180210,https://www.16tons.ru/photo/2018-shortparis-10feb,Photo Gallery,Wayback
g180210,https://www.16tons.ru/concert/2018-shortparis-10feb,Venue Event Page,Wayback
g180210,https://www.last.fm/event/4391782+Shortparis,Last.fm Event,
g180210,https://vk.com/shortparis16tons,VK Event,
g180303,https://calendar.fontanka.ru/events/10853,Press Release,
g180323,https://vk.com/shortparis_nn18,VK Event,
g180324,https://vk.com/sh_kazan24,VK Event,
g180325,https://vk.com/sh_nn_25,VK Event,
g180423,http://berghain.de/event/2352,Venue Event Page,
g180525,https://whatson-kyiv.com/wp-content/uploads/2018/05/web_WOK09.pdf,Event Listings,
g180525,https://www.flickr.com/photos/kiraigigs/sets/72157669496772478/,Photo Gallery,
g180527,https://vitaliymariash.squarespace.com/shortparis,Photo Gallery,
g180527,https://www.facebook.com/events/129760177853342/,Facebook Event,
